"Dolphin.ID","adult.strength","elder.strength","juvenile.strength"
"ALT",0,0,0
"AMO",0,0,0.504936570354278
"AMP",0,0,0
"ANE",0,0,0.652793654611956
"ASN",0,0,0.341515134859825
"ATC",0,0,0
"ATH",0,0.514124054425779,0.095625
"ATW",0,0,0
"BAD",0,0,0
"BLB",0,0,0
"BLI",0,0,0
"BLK",0,0,0
"BLM",0.834751902477742,0,0.70238628825565
"BMN",0,0,0
"BNG",0,0,0.224719399867574
"BOJ",0,0,0
"BOM",0,0,0
"BOR",0.594455753105879,0,0.218344571029993
"BRE",0,0,0
"BRP",0.1,0,1.13485786741419
"BSC",0,0,0.15981240981241
"BSS",0,0,0.632363346381769
"BUT",0,0,0
"BWS",0,0.452597402597403,0
"BYT",0,0,0
"BZD",0,0,0.360396825396825
"CAD",0,0,0.160311337425149
"CCU",0,0,0.648565051378351
"CDB",0,0,0.247509575233841
"CER",0.032258064516129,0,0
"CHC",0,0,0
"CHL",0,0,0.171681141439206
"CHT",0.23161010418257,0,0.027027027027027
"CLA",0,0,0.102097902097902
"CLO",0,1.00094949192179,0.602457269627557
"CLV",0,0,0.647816340049925
"COI",0,0,0.35083621551654
"COK",0,0,0.0978260869565217
"COP",0,0,0.445076633892423
"CRP",0,0,0.108823529411765
"CRS",0,0.5,0
"CRV",0.687841757236222,0,0.474393535206277
"CSK",0,0,0.43797520716967
"CUR",0,0,0.0215111301369863
"CVO",0,0,0.507283359914939
"CYR",0,0.444355947026487,0
"CYS",0,0,0.53969298245614
"DCH",0,0,0.495718049269051
"DCK",0,0,0.197981257119188
"DEM",0,0,0.0548442132348828
"DJY",0.646324590442237,0,0.978417415917416
"DMK",0,0,0
"DNZ",0,0,0
"DOD",0,0,0.0750715176902996
"DOP",0.36652460027073,0,0.242521222410866
"DOU",0,0,0.407240287513924
"DOY",0,0,1.20513329006125
"DUC",0,0,0.507530342021866
"EDE",0,0,0.565916616929105
"EED",0,0,0
"ENC",0.468040592305298,0,0.0722222222222222
"EPC",0,0.5,0
"ESM",0,0,0
"ESP",0,0,0
"FAO",0.503454341843089,0,0
"FID",0,0,0
"FKY",0,0,0
"FLF",0,0,0.397120121258052
"FNT",0,0,0.156422836752899
"FRK",0.0185185185185185,0,0
"FRL",0,0,0.575307366918407
"FSB",0.488373744832029,0,0.380884648677056
"FUF",0.466141478891565,0.466269648956261,0.236889678850302
"FUT",0,0,0.524709080423629
"GAB",0,0,0.244047619047619
"GEK",0,0,0.440626514188235
"GMP",0,0,0.523030060198841
"GOD",0,0,0
"GRF",0.391164844011144,0.0588235294117647,0
"GRG",0.0711164973460055,0,0.0599161104931405
"GRV",0,0,0
"GUA",0.142647068635497,0,0.184889858235635
"GUM",0,0,0
"HAB",0.255111599869664,0,0.460410830999066
"HAT",0.273398370559753,0,0.435264073144319
"HBB",0,0,0
"HFF",0,0,0.638307718373068
"HNK",0,0,0
"HOW",0.539412355995109,0,0.113221219008695
"HRS",0,0,0.49534184133485
"HUB",0.120898359343737,0,0.252065946410282
"IBL",0,0,0.138888888888889
"IBX",0,0,0
"IND",0,0,0.0697276186084049
"ITG",0.285714285714286,0,0.121543778801843
"JAC",0.509541126093488,0,0.498366013071895
"JAH",0,0,0.484156379713389
"JAS",0,0,0
"JMY",0,0,0.374892137982548
"JND",0,0,0.652401704191986
"JNI",0,0,0
"JUI",0,0,0.346892740099879
"JUM",0,0.664233551877383,0
"KIT",0,0,0.0465174129353234
"KIY",0,0,0
"KNG",0,0,0.163829787234043
"KOA",0,0,0.317908407382092
"LAS",0,0,0
"LDO",0.300526271114506,0,0.200490196078431
"LEN",0,0,1.09306489947273
"LEV",0,0.142857142857143,0
"LIC",0,0,0.105675696770412
"LIF",0,0,0
"LIT",0,0,0.322957260417308
"LLA",0,0,0
"LOO",0.285714285714286,0,0.23981612936933
"LYR",0,0,0.222164889852234
"MDH",0,0,0
"MEO",0,0,0.166666666666667
"MIS",0,0,0
"MNG",0,0,0.1
"MNV",0,0.527170868347339,0
"MOU",0,0,0.0880270119046957
"MSC",0,0,0
"MYS",0,0,0.273897058823529
"NET",0,0,0.578822055137845
"NIC",0,0,0.321997590038827
"NIR",0,0,0.530670762928827
"NOE",0,0,0.570434193416064
"NUM",0,0,0
"OLI",0,0,0
"OMA",0,0,0
"OPY",0,0,0.373489406563962
"PDR",0,0,1.08465110740653
"PDT",0,0.0192307692307692,0
"PEG",0,0,0
"PHA",0,0,0
"PHX",0,0,0.246533816425121
"PIC",0,0.544153423343212,0
"POL",0,0,0.881811587661193
"PRN",0,0,0.1
"PSI",0,0,0.105252728492165
"PUC",0,0,0.326839826839827
"PWE",0.159335248245287,0,0.331033182503771
"PZL",0,0,0.24537037037037
"PZZ",0,0,0.166666666666667
"RBD",0.226258459318984,0,0.307875695938714
"RDC",0,0,0.236770092652446
"REG",0,0,0
"RHO",0,0,0.572426007389611
"RIP",0,0,0.35465988491581
"RKS",0.487744849712935,0,0.64372465472979
"RKT",0.666470560332663,0,0.614205170942514
"RLF",0,0,0.613960113960114
"RPC",0,0,0
"RSH",0,0,0
"RSO",0,0,0.315534375855786
"SCA",0,0,0
"SCT",0,0,0.166666666666667
"SEM",0,0,0.550131233567902
"SEQ",0,0,0.293845994470139
"SHB",0,0,0
"SHC",0,0,0.175935250335415
"SKF",0,0,0
"SOG",0,0,0.16834596268769
"SON",0.504474706593858,0,0.460742533990867
"SOP",0,0,0.305357142857143
"SPE",0,0,0.0298507462686567
"SQE",0,0,0
"STV",0,0,0
"SUM",0,0,0.451438775403971
"SUP",0,0,0.0555555555555556
"SUR",0,0,0.0254607935020306
"SVD",0,0,0
"TAF",0,0,0.166666666666667
"TAL",0,0,0.0432773109243697
"TAM",0,0.26324092855533,0
"TAW",0,0,0
"TDL",0,0,0.440909090909091
"TDO",0.100990675990676,0,0.0861990763648359
"TOG",0,0,0
"TOR",0,0,0
"TST",0,0,0
"TTM",0,0,0.324519825752593
"TUF",0,0,0.692044478019754
"TUK",0,0.295053261225828,0.115544324936645
"TUL",0,0,0.203703703703704
"TUN",0,0,0
"TUX",0.356344561235866,0,0.733688183570634
"UVE",0,0,0.032258064516129
"VBE",0,0,0.36566471076869
"VLT",0,0,1.24256237028352
"WAC",0,0,0
"WES",0,0,0
"WHE",0,0,0.14185622283557
"WHL",0,0,0
"WHN",0,0,0.293357399020238
"WHO",0,0,0.0344495970358833
"WHT",0,0,0
"WHZ",0,0,0.415849688284259
"WIY",0.831833096328756,0,0.514029693814868
"WLV",0,0,0.166666666666667
"WNG",0,0.359085933223864,0.149934832192897
"WOF",0,0,0.840224452657317
"WON",0.45289298515105,0,0.253968253968254
"WOP",0,0,0.423913043478261
"WPY",0.288931056293485,0,0.202284878863826
"ZEP",0,0,1.01100434731746
"ZIP",0,0,0.136934357965088
